FIA Code,Common Name,Genus,Species,Subspecies,PLANTS Code,SCIENTIFIC_NAME
8918,moundlily yucca,Yucca,gloriosa,,YUGL2,Yucca gloriosa
8919,bluestem yucca,Yucca,guatemalensis,,YUGU,Yucca guatemalensis
8923,Maricao pricklyash,Zanthoxylum,bifoliolatum,,ZABI,Zanthoxylum bifoliolatum
8924,prickly yellow,Zanthoxylum,caribaeum,,ZACA3,Zanthoxylum caribaeum
8925,kawau,Zanthoxylum,dipetalum,,ZADI,Zanthoxylum dipetalum
8928,West Indian satinwood,Zanthoxylum,flavum,,ZAFL,Zanthoxylum flavum
8929,Hawaii pricklyash,Zanthoxylum,hawaiiense,,ZAHA,Zanthoxylum hawaiiense
8930,Kauai pricklyash,Zanthoxylum,kauaense,,ZAKA,Zanthoxylum kauaense
8931,white pricklyash,Zanthoxylum,martinicense,,ZAMA,Zanthoxylum martinicense
8932,yellow prickle,Zanthoxylum,monophyllum,,ZAMO,Zanthoxylum monophyllum
8933,Oahu pricklyash,Zanthoxylum,oahuense,,ZAOA,Zanthoxylum oahuense
8934,dotted pricklyash,Zanthoxylum,punctatum,,ZAPU2,Zanthoxylum punctatum
8935,niaragato,Zanthoxylum,spinifex,,ZASP,Zanthoxylum spinifex
8937,St. Thomas pricklyash,Zanthoxylum,thomasianum,,ZATH,Zanthoxylum thomasianum
8938,Zapoteca portoricensis,Zapoteca,portoricensis,,ZAPO2,Zapoteca portoricensis
8939,Indian jujube,Ziziphus,mauritiana,,ZIMA,Ziziphus mauritiana
8940,cacao rojo,Ziziphus,reticulata,,ZIRE,Ziziphus reticulata
8941,soana,Ziziphus,rignonii,,ZIRI,Ziziphus rignonii
8943,Taylor's jujube,Ziziphus,taylorii,,ZITA,Ziziphus taylorii
8951,dove tree,Davidia,involucrata,,DAIN81,Davidia involucrata
8961,hardy rubber tree,Eucommia,ulmoides,,EUUL2,Eucommia ulmoides
8971,amur maackia,Maackia,amurensis,,MAAM9,Maackia amurensis
8981,Persian ironwood,Parrotia,persica,,PAPE18,Parrotia persica
